date,agegrp,covid_deaths
2020-07-02 00:00:00,80+,5
2020-07-03 00:00:00,70-79,5
2020-07-03 00:00:00,80+,4
2020-07-04 00:00:00,50-59,1
2020-07-04 00:00:00,60-69,3
2020-07-04 00:00:00,70-79,1
2020-07-04 00:00:00,80+,2
2020-07-05 00:00:00,70-79,1
2020-07-05 00:00:00,80+,10
2020-07-06 00:00:00,50-59,3
2020-07-06 00:00:00,60-69,2
2020-07-06 00:00:00,70-79,3
2020-07-06 00:00:00,80+,7
2020-07-07 00:00:00,70-79,2
2020-07-07 00:00:00,80+,4
2020-07-08 00:00:00,20-29,1
2020-07-08 00:00:00,60-69,1
2020-07-08 00:00:00,70-79,2
2020-07-08 00:00:00,80+,4
2020-07-09 00:00:00,30-39,1
2020-07-09 00:00:00,50-59,1
2020-07-09 00:00:00,60-69,3
2020-07-09 00:00:00,70-79,2
2020-07-09 00:00:00,80+,3
2020-07-10 00:00:00,50-59,1
2020-07-10 00:00:00,60-69,1
2020-07-10 00:00:00,70-79,3
2020-07-10 00:00:00,80+,2
2020-07-11 00:00:00,70-79,4
2020-07-11 00:00:00,80+,4
2020-07-12 00:00:00,50-59,2
2020-07-12 00:00:00,70-79,6
2020-07-12 00:00:00,80+,5
2020-07-13 00:00:00,60-69,2
2020-07-13 00:00:00,70-79,3
2020-07-13 00:00:00,80+,4
2020-07-14 00:00:00,70-79,2
2020-07-14 00:00:00,80+,3
2020-07-15 00:00:00,60-69,2
2020-07-15 00:00:00,70-79,3
2020-07-15 00:00:00,80+,5
2020-07-16 00:00:00,60-69,2
2020-07-16 00:00:00,70-79,3
2020-07-16 00:00:00,80+,4
2020-07-17 00:00:00,60-69,3
2020-07-17 00:00:00,70-79,1
2020-07-17 00:00:00,80+,5
2020-07-18 00:00:00,50-59,1
2020-07-18 00:00:00,70-79,1
2020-07-18 00:00:00,80+,3
2020-07-19 00:00:00,60-69,2
2020-07-19 00:00:00,70-79,1
2020-07-19 00:00:00,80+,5
2020-07-20 00:00:00,60-69,4
2020-07-20 00:00:00,70-79,4
2020-07-20 00:00:00,80+,5
2020-07-21 00:00:00,50-59,1
2020-07-21 00:00:00,60-69,1
2020-07-21 00:00:00,70-79,2
2020-07-21 00:00:00,80+,5
2020-07-22 00:00:00,50-59,1
2020-07-22 00:00:00,60-69,1
2020-07-22 00:00:00,70-79,1
2020-07-22 00:00:00,80+,10
2020-07-23 00:00:00,60-69,5
2020-07-23 00:00:00,70-79,2
2020-07-23 00:00:00,80+,3
2020-07-24 00:00:00,60-69,3
2020-07-24 00:00:00,70-79,4
2020-07-24 00:00:00,80+,2
2020-07-25 00:00:00,50-59,1
2020-07-25 00:00:00,70-79,2
2020-07-25 00:00:00,80+,5
2020-07-26 00:00:00,60-69,1
2020-07-26 00:00:00,70-79,1
2020-07-26 00:00:00,80+,6
2020-07-27 00:00:00,60-69,2
2020-07-27 00:00:00,70-79,1
2020-07-27 00:00:00,80+,1
2020-07-28 00:00:00,40-49,1
2020-07-28 00:00:00,60-69,1
2020-07-28 00:00:00,70-79,2
2020-07-28 00:00:00,80+,2
2020-07-29 00:00:00,20-29,1
2020-07-29 00:00:00,70-79,6
2020-07-29 00:00:00,80+,12
2020-07-30 00:00:00,50-59,2
2020-07-30 00:00:00,60-69,1
2020-07-30 00:00:00,70-79,2
2020-07-30 00:00:00,80+,4
2020-07-31 00:00:00,50-59,1
2020-07-31 00:00:00,60-69,2
2020-07-31 00:00:00,70-79,2
2020-07-31 00:00:00,80+,5
2020-08-01 00:00:00,50-59,1
2020-08-01 00:00:00,60-69,2
2020-08-01 00:00:00,70-79,4
2020-08-01 00:00:00,80+,5
2020-08-02 00:00:00,70-79,4
2020-08-02 00:00:00,80+,5
2020-08-03 00:00:00,40-49,1
2020-08-03 00:00:00,70-79,2
2020-08-03 00:00:00,80+,6
2020-08-04 00:00:00,50-59,2
2020-08-04 00:00:00,70-79,1
2020-08-04 00:00:00,80+,6
2020-08-05 00:00:00,60-69,1
2020-08-05 00:00:00,70-79,2
2020-08-05 00:00:00,80+,1
2020-08-06 00:00:00,60-69,2
2020-08-06 00:00:00,70-79,5
2020-08-06 00:00:00,80+,7
2020-08-07 00:00:00,40-49,1
2020-08-07 00:00:00,50-59,1
2020-08-07 00:00:00,60-69,1
2020-08-07 00:00:00,70-79,6
2020-08-07 00:00:00,80+,5
2020-08-08 00:00:00,50-59,1
2020-08-08 00:00:00,60-69,4
2020-08-08 00:00:00,70-79,2
2020-08-08 00:00:00,80+,3
2020-08-09 00:00:00,60-69,1
2020-08-09 00:00:00,70-79,3
2020-08-09 00:00:00,80+,2
2020-08-10 00:00:00,50-59,1
2020-08-10 00:00:00,60-69,2
2020-08-10 00:00:00,70-79,4
2020-08-10 00:00:00,80+,8
2020-08-11 00:00:00,50-59,1
2020-08-11 00:00:00,70-79,5
2020-08-11 00:00:00,80+,7
2020-08-12 00:00:00,50-59,1
2020-08-12 00:00:00,60-69,2
2020-08-12 00:00:00,70-79,3
2020-08-12 00:00:00,80+,9
2020-08-13 00:00:00,40-49,1
2020-08-13 00:00:00,50-59,2
2020-08-13 00:00:00,70-79,2
2020-08-13 00:00:00,80+,10
2020-08-14 00:00:00,60-69,1
2020-08-14 00:00:00,70-79,4
2020-08-14 00:00:00,80+,9
2020-08-15 00:00:00,60-69,1
2020-08-15 00:00:00,70-79,4
2020-08-15 00:00:00,80+,4
2020-08-16 00:00:00,50-59,1
2020-08-16 00:00:00,60-69,3
2020-08-16 00:00:00,70-79,3
2020-08-16 00:00:00,80+,4
2020-08-17 00:00:00,20-29,1
2020-08-17 00:00:00,30-39,1
2020-08-17 00:00:00,50-59,1
2020-08-17 00:00:00,60-69,3
2020-08-17 00:00:00,70-79,6
2020-08-17 00:00:00,80+,8
2020-08-18 00:00:00,60-69,1
2020-08-18 00:00:00,70-79,3
2020-08-18 00:00:00,80+,1
2020-08-19 00:00:00,60-69,4
2020-08-19 00:00:00,70-79,4
2020-08-19 00:00:00,80+,3
2020-08-20 00:00:00,30-39,1
2020-08-20 00:00:00,60-69,4
2020-08-20 00:00:00,70-79,3
2020-08-20 00:00:00,80+,5
2020-08-21 00:00:00,40-49,1
2020-08-21 00:00:00,50-59,1
2020-08-21 00:00:00,60-69,2
2020-08-21 00:00:00,70-79,1
2020-08-21 00:00:00,80+,3
2020-08-22 00:00:00,40-49,2
2020-08-22 00:00:00,50-59,1
2020-08-22 00:00:00,60-69,1
2020-08-22 00:00:00,70-79,1
2020-08-22 00:00:00,80+,8
2020-08-23 00:00:00,50-59,1
2020-08-23 00:00:00,70-79,3
2020-08-23 00:00:00,80+,7
2020-08-24 00:00:00,50-59,1
2020-08-24 00:00:00,60-69,4
2020-08-24 00:00:00,70-79,5
2020-08-24 00:00:00,80+,3
2020-08-25 00:00:00,50-59,3
2020-08-25 00:00:00,60-69,1
2020-08-25 00:00:00,70-79,3
2020-08-25 00:00:00,80+,3
2020-08-26 00:00:00,70-79,1
2020-08-26 00:00:00,80+,2
2020-08-27 00:00:00,50-59,1
2020-08-27 00:00:00,60-69,1
2020-08-27 00:00:00,70-79,6
2020-08-27 00:00:00,80+,7
2020-08-28 00:00:00,50-59,1
2020-08-28 00:00:00,60-69,1
2020-08-28 00:00:00,70-79,2
2020-08-28 00:00:00,80+,5
2020-08-29 00:00:00,50-59,1
2020-08-29 00:00:00,60-69,3
2020-08-29 00:00:00,70-79,1
2020-08-29 00:00:00,80+,3
2020-08-30 00:00:00,60-69,4
2020-08-30 00:00:00,70-79,1
2020-08-30 00:00:00,80+,2
2020-08-31 00:00:00,30-39,1
2020-08-31 00:00:00,40-49,2
2020-08-31 00:00:00,60-69,2
2020-08-31 00:00:00,70-79,4
2020-08-31 00:00:00,80+,3
2020-09-01 00:00:00,40-49,1
2020-09-01 00:00:00,70-79,2
2020-09-01 00:00:00,80+,2
2020-09-02 00:00:00,50-59,1
2020-09-02 00:00:00,60-69,2
2020-09-02 00:00:00,70-79,3
2020-09-02 00:00:00,80+,3
2020-09-03 00:00:00,30-39,1
2020-09-03 00:00:00,60-69,1
2020-09-03 00:00:00,80+,3
2020-09-04 00:00:00,60-69,1
2020-09-04 00:00:00,70-79,2
2020-09-04 00:00:00,80+,10
2020-09-05 00:00:00,60-69,1
2020-09-05 00:00:00,70-79,3
2020-09-05 00:00:00,80+,6
2020-09-06 00:00:00,40-49,1
2020-09-06 00:00:00,50-59,1
2020-09-06 00:00:00,60-69,2
2020-09-06 00:00:00,70-79,2
2020-09-06 00:00:00,80+,8
2020-09-07 00:00:00,60-69,2
2020-09-07 00:00:00,70-79,3
2020-09-07 00:00:00,80+,4
2020-09-08 00:00:00,60-69,2
2020-09-08 00:00:00,70-79,5
2020-09-08 00:00:00,80+,7
2020-09-09 00:00:00,60-69,1
2020-09-09 00:00:00,70-79,6
2020-09-09 00:00:00,80+,4
2020-09-10 00:00:00,50-59,1
2020-09-10 00:00:00,70-79,5
2020-09-10 00:00:00,80+,5
2020-09-11 00:00:00,50-59,1
2020-09-11 00:00:00,60-69,3
2020-09-11 00:00:00,70-79,3
2020-09-11 00:00:00,80+,4
2020-09-12 00:00:00,70-79,2
2020-09-12 00:00:00,80+,2
2020-09-13 00:00:00,50-59,1
2020-09-13 00:00:00,60-69,2
2020-09-13 00:00:00,70-79,1
2020-09-13 00:00:00,80+,9
2020-09-14 00:00:00,40-49,1
2020-09-14 00:00:00,50-59,1
2020-09-14 00:00:00,70-79,4
2020-09-14 00:00:00,80+,6
2020-09-15 00:00:00,60-69,3
2020-09-15 00:00:00,70-79,2
2020-09-15 00:00:00,80+,6
2020-09-16 00:00:00,50-59,1
2020-09-16 00:00:00,60-69,2
2020-09-16 00:00:00,70-79,1
2020-09-16 00:00:00,80+,4
2020-09-17 00:00:00,40-49,1
2020-09-17 00:00:00,50-59,1
2020-09-17 00:00:00,60-69,1
2020-09-17 00:00:00,70-79,6
2020-09-17 00:00:00,80+,4
2020-09-18 00:00:00,40-49,1
2020-09-18 00:00:00,50-59,1
2020-09-18 00:00:00,70-79,2
2020-09-18 00:00:00,80+,6
2020-09-19 00:00:00,20-29,1
2020-09-19 00:00:00,60-69,1
2020-09-19 00:00:00,70-79,3
2020-09-19 00:00:00,80+,4
2020-09-20 00:00:00,70-79,2
2020-09-20 00:00:00,80+,2
2020-09-21 00:00:00,50-59,1
2020-09-21 00:00:00,70-79,2
2020-09-21 00:00:00,80+,3
2020-09-22 00:00:00,30-39,1
2020-09-22 00:00:00,60-69,2
2020-09-22 00:00:00,70-79,3
2020-09-22 00:00:00,80+,7
2020-09-23 00:00:00,30-39,1
2020-09-23 00:00:00,70-79,2
2020-09-23 00:00:00,80+,12
2020-09-24 00:00:00,40-49,1
2020-09-24 00:00:00,60-69,2
2020-09-24 00:00:00,70-79,1
2020-09-24 00:00:00,80+,7
2020-09-25 00:00:00,60-69,2
2020-09-25 00:00:00,70-79,3
2020-09-25 00:00:00,80+,7
2020-09-26 00:00:00,60-69,3
2020-09-26 00:00:00,70-79,5
2020-09-26 00:00:00,80+,14
2020-09-27 00:00:00,70-79,6
2020-09-27 00:00:00,80+,6
2020-09-28 00:00:00,40-49,1
2020-09-28 00:00:00,50-59,1
2020-09-28 00:00:00,60-69,4
2020-09-28 00:00:00,70-79,2
2020-09-28 00:00:00,80+,9
2020-09-29 00:00:00,60-69,3
2020-09-29 00:00:00,70-79,4
2020-09-29 00:00:00,80+,10
2020-09-30 00:00:00,60-69,2
2020-09-30 00:00:00,70-79,4
2020-09-30 00:00:00,80+,5
2020-10-01 00:00:00,30-39,1
2020-10-01 00:00:00,60-69,3
2020-10-01 00:00:00,70-79,2
2020-10-01 00:00:00,80+,11
2020-10-02 00:00:00,50-59,1
2020-10-02 00:00:00,60-69,3
2020-10-02 00:00:00,70-79,5
2020-10-02 00:00:00,80+,7
2020-10-03 00:00:00,50-59,3
2020-10-03 00:00:00,60-69,4
2020-10-03 00:00:00,70-79,4
2020-10-03 00:00:00,80+,7
2020-10-04 00:00:00,50-59,1
2020-10-04 00:00:00,60-69,3
2020-10-04 00:00:00,70-79,2
2020-10-04 00:00:00,80+,7
2020-10-05 00:00:00,60-69,2
2020-10-05 00:00:00,70-79,6
2020-10-05 00:00:00,80+,3
2020-10-06 00:00:00,30-39,1
2020-10-06 00:00:00,50-59,1
2020-10-06 00:00:00,60-69,1
2020-10-06 00:00:00,70-79,3
2020-10-06 00:00:00,80+,7
2020-10-07 00:00:00,50-59,2
2020-10-07 00:00:00,70-79,5
2020-10-07 00:00:00,80+,8
2020-10-08 00:00:00,60-69,3
2020-10-08 00:00:00,70-79,6
2020-10-08 00:00:00,80+,13
2020-10-09 00:00:00,60-69,1
2020-10-09 00:00:00,70-79,5
2020-10-09 00:00:00,80+,14
2020-10-10 00:00:00,30-39,1
2020-10-10 00:00:00,40-49,1
2020-10-10 00:00:00,70-79,2
2020-10-10 00:00:00,80+,10
2020-10-11 00:00:00,60-69,2
2020-10-11 00:00:00,70-79,7
2020-10-11 00:00:00,80+,10
2020-10-12 00:00:00,50-59,1
2020-10-12 00:00:00,60-69,1
2020-10-12 00:00:00,70-79,7
2020-10-12 00:00:00,80+,10
2020-10-13 00:00:00,50-59,1
2020-10-13 00:00:00,60-69,4
2020-10-13 00:00:00,70-79,6
2020-10-13 00:00:00,80+,12
2020-10-14 00:00:00,50-59,1
2020-10-14 00:00:00,60-69,1
2020-10-14 00:00:00,70-79,5
2020-10-14 00:00:00,80+,9
2020-10-15 00:00:00,40-49,1
2020-10-15 00:00:00,50-59,1
2020-10-15 00:00:00,60-69,5
2020-10-15 00:00:00,70-79,11
2020-10-15 00:00:00,80+,11
2020-10-16 00:00:00,40-49,1
2020-10-16 00:00:00,50-59,1
2020-10-16 00:00:00,60-69,5
2020-10-16 00:00:00,70-79,9
2020-10-16 00:00:00,80+,20
2020-10-17 00:00:00,40-49,2
2020-10-17 00:00:00,50-59,1
2020-10-17 00:00:00,60-69,2
2020-10-17 00:00:00,70-79,6
2020-10-17 00:00:00,80+,8
2020-10-18 00:00:00,60-69,4
2020-10-18 00:00:00,70-79,5
2020-10-18 00:00:00,80+,15
2020-10-19 00:00:00,50-59,1
2020-10-19 00:00:00,60-69,1
2020-10-19 00:00:00,70-79,8
2020-10-19 00:00:00,80+,8
2020-10-20 00:00:00,40-49,1
2020-10-20 00:00:00,50-59,1
2020-10-20 00:00:00,60-69,7
2020-10-20 00:00:00,70-79,8
2020-10-20 00:00:00,80+,14
2020-10-21 00:00:00,40-49,1
2020-10-21 00:00:00,50-59,1
2020-10-21 00:00:00,60-69,6
2020-10-21 00:00:00,70-79,6
2020-10-21 00:00:00,80+,15
2020-10-22 00:00:00,50-59,1
2020-10-22 00:00:00,60-69,6
2020-10-22 00:00:00,70-79,8
2020-10-22 00:00:00,80+,12
2020-10-23 00:00:00,20-29,1
2020-10-23 00:00:00,60-69,1
2020-10-23 00:00:00,70-79,6
2020-10-23 00:00:00,80+,13
2020-10-24 00:00:00,20-29,1
2020-10-24 00:00:00,50-59,2
2020-10-24 00:00:00,60-69,1
2020-10-24 00:00:00,70-79,7
2020-10-24 00:00:00,80+,10
2020-10-25 00:00:00,40-49,1
2020-10-25 00:00:00,50-59,1
2020-10-25 00:00:00,60-69,4
2020-10-25 00:00:00,70-79,5
2020-10-25 00:00:00,80+,14
2020-10-26 00:00:00,30-39,1
2020-10-26 00:00:00,40-49,1
2020-10-26 00:00:00,50-59,1
2020-10-26 00:00:00,60-69,5
2020-10-26 00:00:00,70-79,4
2020-10-26 00:00:00,80+,26
2020-10-27 00:00:00,30-39,1
2020-10-27 00:00:00,40-49,1
2020-10-27 00:00:00,50-59,2
2020-10-27 00:00:00,60-69,4
2020-10-27 00:00:00,70-79,4
2020-10-27 00:00:00,80+,19
2020-10-28 00:00:00,20-29,1
2020-10-28 00:00:00,50-59,1
2020-10-28 00:00:00,60-69,1
2020-10-28 00:00:00,70-79,7
2020-10-28 00:00:00,80+,14
2020-10-29 00:00:00,60-69,6
2020-10-29 00:00:00,70-79,7
2020-10-29 00:00:00,80+,11
2020-10-30 00:00:00,40-49,1
2020-10-30 00:00:00,50-59,2
2020-10-30 00:00:00,60-69,7
2020-10-30 00:00:00,70-79,8
2020-10-30 00:00:00,80+,13
2020-10-31 00:00:00,60-69,2
2020-10-31 00:00:00,80+,9
